author,published_at,like_count,processed_text,sentiment_label,sentiment_score,detected_emotion
@swatantrasubba1888,2022-11-07 14:46:48,4.0,election ko time publicity stunt,NEGATIVE,0.9910227060317993,neutral
@tantrichill192,2022-11-12 18:22:35,0.0,nothing criminal murderer old folk arethey jail walking talking corps,POSITIVE,0.8551900386810303,anger
@tulasirajkandel1614,2022-10-31 14:22:56,2.0,nice song,POSITIVE,0.9998550415039062,joy
@arjunroy4150,2022-05-27 09:29:43,1.0,proud indian feel proud indian army,POSITIVE,0.9998505115509033,joy
@kamalbhattarai9571,2022-11-09 10:20:29,1.0,good conversation,POSITIVE,0.9998587369918823,neutral
@vskumarvijay77,2022-08-07 10:12:29,969.0,super editing justice song bahubali movie also got new meaning seems scene song made eachother hat,NEGATIVE,0.9142603874206543,surprise
@roshanchapagain6048,2022-11-13 13:01:49,2.0,prachanda love,POSITIVE,0.9997839331626892,neutral
@bimalapun8584,2022-07-24 14:22:03,0.0,prachand chor,NEGATIVE,0.8944150805473328,neutral
@rijanshrestha695,2022-11-07 12:39:13,17.0,wow wish see ex king president perfect duo,POSITIVE,0.9995138645172119,surprise
@mochi-243,2022-07-29 17:26:44,1.0,huge leader nepal,POSITIVE,0.9994218349456787,surprise
@ashutoshbhandari86,2022-11-12 07:40:47,0.0,great leader prachanda,POSITIVE,0.9996917247772217,neutral
@sujitkhatri7875,2022-10-18 05:34:02,1.0,hat kind news keep definitely support keep moving,POSITIVE,0.9997352957725525,joy
@ahtserhs9,2022-11-09 12:37:44,2.0,need sher bahadur deuba asap brif ask one question maybe answer question entire whole podcast dont end,NEGATIVE,0.9983775615692139,neutral
@santoshmitra3796,2022-07-22 04:52:58,0.0,love inda joy kaley joy siyrame joy hind joy bhryt,POSITIVE,0.9982410669326782,joy
@alok1356,2022-11-27 17:25:55,0.0,destroyed evil feudalism monarchy dont weve square big idol prachanda already,NEGATIVE,0.9956222176551819,neutral
@jasnoorkaur7588,2022-07-09 07:12:32,3.0,favourite anthem respect salute army working hard,POSITIVE,0.9909578561782837,joy
@govindakc1383,2022-11-02 17:56:14,0.0,rip khate parchand,NEGATIVE,0.9886410236358643,anger
@galaxyone6360,2022-11-10 00:16:09,0.0,prachanda maoist created india create instability nepal,NEGATIVE,0.9790844917297363,fear
@DeepaRLShah23,2022-11-09 02:06:50,0.0,even skip sec brbra big big big never ever brbrhe doesnt mileage energy enthusiasm dont reachable empowerment drive youth vote never ever hrefhttpwwwyoutubecomresultssearchquerynonotagainnonotagaina,NEGATIVE,0.9985179305076599,sadness
@rajkghimire5071,2022-11-10 15:21:08,0.0,hrefhttpwwwyoutubecomresultssearchquerynonotagainnonotagainabrif want change vote changebrvote ravi lamichhane party,NEGATIVE,0.9726128578186035,neutral
@jenniferswamiofficial756,2022-04-02 04:51:32,0.0,real hero country really shameful adore celeb brave soldier wing sorry country hero,NEGATIVE,0.9446280598640442,sadness
@dg6169,2022-04-02 19:17:24,17.0,respect punjabbr,POSITIVE,0.9979814291000366,neutral
@kreetishadahal1442,2022-10-16 14:11:31,0.0,opinion,POSITIVE,0.9736995697021484,neutral
@sharmakishorsharma7186,2022-11-12 23:37:19,0.0,againbrvote ghanti,POSITIVE,0.6389086246490479,neutral
@ab-tt2su,2022-04-01 17:08:25,1.0,honest idont like people india many reason indian army motivates song add extra charm,POSITIVE,0.999786913394928,joy
@ajaykapoor6404,2022-07-19 08:21:33,0.0,feel goosebump every time see great piece artbrsalutations writer singer,POSITIVE,0.9964548349380493,joy
@sanjivghimire8322,2022-02-21 05:22:24,6.0,great leader prachanda,POSITIVE,0.9996917247772217,neutral
@prakashrasaili8175,2022-11-02 23:29:03,2.0,like u best sing congratulation,POSITIVE,0.9850550889968872,joy
@bandhanmondal4685,2022-10-04 04:03:34,6.0,kinda look like cross hybrid eurocopter tiger bell supercobra,NEGATIVE,0.9417270421981812,neutral
@kabinthapa9870,2022-10-13 14:53:19,65.0,dont give making kind video full support need people like,NEGATIVE,0.8566944599151611,neutral
@thapakamal5261,2022-11-09 05:05:27,1.0,intresting interview,NEGATIVE,0.9556637406349182,neutral
@bishangc4353,2022-10-14 01:58:58,0.0,god,POSITIVE,0.9448790550231934,disgust
@binayadhakal9106,2022-11-11 16:14:44,0.0,stupid guy sanjay kasto nonsense harrrr,NEGATIVE,0.9985256791114807,anger
@Knshukla234,2022-06-24 05:29:15,6.0,major anuj sood rambo inspiration every time feel low nda prepration think dont know get goosebump suddenly spirit go higher wishing martyrdom got hero anuj sir day special supreme sacrifice mother indian fighting terriosm valley missing major hrefhttpwwwyoutubecomresultssearchqueryshershera anuj sher rajwar handwara jungle,NEGATIVE,0.9930626749992371,sadness
@sitanepal5901,2022-10-22 00:53:52,0.0,pracanda worst leader ever beautiful country give birth pity motherland nepal,NEGATIVE,0.9987832903862,sadness
@vijaythrai4093,2022-02-19 11:37:50,3.0,proud,POSITIVE,0.999871015548706,joy
@NPLONLINEVlogs,2022-10-13 23:09:23,0.0,pray loss,NEGATIVE,0.9984962940216064,sadness
@venkateshwara5242,2022-06-05 15:07:53,1.0,cat listened songshe lion,POSITIVE,0.9723159074783325,neutral
@bhimkumarrai7824,2022-04-13 14:27:56,1.0,nice song,POSITIVE,0.9998550415039062,joy
@wazza9573,2022-10-20 11:39:23,0.0,man devil dont vote man cost,NEGATIVE,0.976407527923584,neutral
@Nabin812,2022-04-12 18:01:28,10.0,lovely chemistry legend daya dai laxmi amazing congratulation making awesome music video god bless,POSITIVE,0.9998527765274048,joy
@adamwills3070,2022-11-08 22:25:27,1.0,respect sanjay,POSITIVE,0.9994951486587524,anger
@isThe_G,2022-10-14 01:04:42,3.0,pls make video youtube social medium power hand need spread awareness thanks bro keep,POSITIVE,0.9509894847869873,joy
