video_id,author,published_at,like_count,text,time_period,script,sentiment_label
5XkszPOC2Dg,@mybookismylife.2798,2022-05-16 04:25:15,27.0,"युवा बुद्धिमान, प्रतिभाशाली, ऊर्जावान बालेन बहुमुखी प्रतिभाशाली व्यक्ति हुन्। उनको विशाल प्रशंसक",before_election,Devanagari,negative
5XkszPOC2Dg,@ganeshrasaeli1279,2022-05-19 22:02:42,2.0,मेयर बन्ने केबीआर सुनेर खोज गरिरहेँ हेर आउने कती जान हुनहुन्क्स<br>शुभकामना दाजु यसलाई जारी राख्नुहोस्,before_election,Devanagari,negative
-WS50u_kjFw,@SurajKumar-ib9no,2022-05-25 18:38:51,0.0,बालेन शाह अर्को दिउँसो,before_election,Devanagari,neutral
UQBWAuoppkw,@netrabahadur262,2022-03-19 19:14:21,0.0,बालेनलाई भोट दिनुहोस्,before_election,Devanagari,neutral
5XkszPOC2Dg,@maskedhero5600,2022-05-18 14:39:18,0.0,बान्नन्न्काआएइ <br>IYKYK,before_election,Devanagari,neutral
UQBWAuoppkw,@anojchaulagain2659,2022-04-15 05:23:17,0.0,"बलेन जी लै मेरो सुजाब <br>१.गफ हान्डै हिड्नु वान्डा.. हरेक इन्जिनियरिङ, अवलोकन.. संगा कोल्ज मै गयारा समन्वय गरनु पर्यो.. शिक्षित युवाहरु हारु तापीको साथ हुनसक्छ। भोट didaina<br><br>२.अजै धुपारी समय xa इन्जिनियरिङ कक्षा अनलाइन दिन सकनु वो वने आजै रामरो... ड्राइंग हरु को आधारभूत देखि जटिल पढाइ सिक्कानु भो वाने.. यसले ठूलो क्रान्ति गर्नेछ<br>3। र्‍याप ले युवा लाइ प्रमोट गर्क्सा भाने.. लोक धोरी मञ्च जस्तै इन्द्रेणी मा गयारा बुढा पाखा लै प्रमोटे गरनु परी<br>4. युट्युब मै सिमित नवाई.. सार्वजनिक मा देखा पर्नु पारो",before_election,Devanagari,positive
UQBWAuoppkw,@gopalgurung574,2022-04-22 11:20:53,1.0,अचम्मको,before_election,Devanagari,neutral
YRNXYk7Jd1s,@safalgurungg1310,2022-04-18 13:54:52,0.0,अप,before_election,Devanagari,neutral
mHjX-6TJawk,@mandalabyromi,2022-04-29 15:03:56,0.0,हाहाहाहाहा,before_election,Devanagari,neutral
42L17-L0nzs,@lokendradhakal6839,2022-05-29 09:48:30,2.0,बलेन ले काम गर्ना सकचन जय बलेन,before_election,Devanagari,negative
UQBWAuoppkw,@weedvlogs6_946,2022-04-07 19:50:07,0.0,"<a href=""http://www.youtube.com/results?search_query=%23legalizenepal"">#legalizenepal</a>",before_election,Devanagari,positive
n-sFRIOYkiY,@Ranjitmagar1,2022-05-24 02:52:31,3.0,कच्चा बर्ज देखी नै समर्थन गर्क्सु माता,before_election,Devanagari,neutral
YRNXYk7Jd1s,@3funnybuddies430,2022-05-22 07:28:43,0.0,"<a href=""https://www.youtube.com/watch?v=YRNXYk7Jd1s&amp;t=2322"">38:42</a> beluun",before_election,Devanagari,neutral
UQBWAuoppkw,@udiprai3493,2022-03-25 17:59:49,0.0,दाइ आनी यो सरकार निकाया तिरा काम गर्ने मन्चै लाई किन लोकसेवा आठवा राजनीतिक को अबसेक्ता परछ। लोकसेवाको महत्व छ त्यहा भो तारा कर्मचारी काम हुदा हुदै निश्चित समय को लागी भये पानी योग्य व्यक्ति लाई मौका दिनु परछ । त्यो मेरो दृष्टिकोण हो। तिम्रो के हो?,before_election,Devanagari,negative
YRNXYk7Jd1s,@shankarkc573,2022-05-08 14:03:55,0.0,", <a href=""https://www.youtube.com/watch?v=qTyx6E03Owg"">https://youtu.be/qTyx6E03Owg</a>",before_election,Devanagari,negative
UQBWAuoppkw,@watssssuppppppp,2022-05-22 19:24:34,0.0,संजय मेरो विचार जस्तै छ ... फेरि भेट्न आउनुहोस्?,before_election,Devanagari,positive
