,author,published_at,like_count,processed_text,detected_emotion
0,@swatantrasubba1888,2022-11-07 14:46:48,4.0,election ko time publicity stunt,neutral
1,@tantrichill192,2022-11-12 18:22:35,0.0,nothing criminal murderer old folk arethey jail walking talking corps,anger
2,@tulasirajkandel1614,2022-10-31 14:22:56,2.0,nice song,fear
3,@arjunroy4150,2022-05-27 09:29:43,1.0,proud indian feel proud indian army,joy
4,@kamalbhattarai9571,2022-11-09 10:20:29,1.0,good conversation,neutral
5,@vskumarvijay77,2022-08-07 10:12:29,969.0,super editing justice song bahubali movie also got new meaning seems scene song made eachother hat,surprise
6,@roshanchapagain6048,2022-11-13 13:01:49,2.0,prachanda love,neutral
7,@bimalapun8584,2022-07-24 14:22:03,0.0,prachand chor,neutral
8,@rijanshrestha695,2022-11-07 12:39:13,17.0,wow wish see ex king president perfect duo,surprise
9,@mochi-243,2022-07-29 17:26:44,1.0,huge leader nepal,surprise
10,@ashutoshbhandari86,2022-11-12 07:40:47,0.0,great leader prachanda,neutral
11,@sujitkhatri7875,2022-10-18 05:34:02,1.0,hat kind news keep definitely support keep moving,surprise
12,@ahtserhs9,2022-11-09 12:37:44,2.0,need sher bahadur deuba asap brif ask one question maybe answer question entire whole podcast dont end,sadness
13,@santoshmitra3796,2022-07-22 04:52:58,0.0,love inda joy kaley joy siyrame joy hind joy bhryt,anger
14,@alok1356,2022-11-27 17:25:55,0.0,destroyed evil feudalism monarchy dont weve square big idol prachanda already,neutral
15,@jasnoorkaur7588,2022-07-09 07:12:32,3.0,favourite anthem respect salute army working hard,joy
16,@govindakc1383,2022-11-02 17:56:14,0.0,rip khate parchand,disgust
17,@galaxyone6360,2022-11-10 00:16:09,0.0,prachanda maoist created india create instability nepal,fear
18,@DeepaRLShah23,2022-11-09 02:06:50,0.0,even skip sec brbra big big big never ever brbrhe doesnt mileage energy enthusiasm dont reachable empowerment drive youth vote never ever hrefhttpwwwyoutubecomresultssearchquerynonotagainnonotagaina,sadness
19,@rajkghimire5071,2022-11-10 15:21:08,0.0,hrefhttpwwwyoutubecomresultssearchquerynonotagainnonotagainabrif want change vote changebrvote ravi lamichhane party,neutral
20,@jenniferswamiofficial756,2022-04-02 04:51:32,0.0,real hero country really shameful adore celeb brave soldier wing sorry country hero,joy
21,@dg6169,2022-04-02 19:17:24,17.0,respect punjabbr,neutral
22,@kreetishadahal1442,2022-10-16 14:11:31,0.0,opinion,neutral
23,@sharmakishorsharma7186,2022-11-12 23:37:19,0.0,againbrvote ghanti,neutral
24,@ab-tt2su,2022-04-01 17:08:25,1.0,honest idont like people india many reason indian army motivates song add extra charm,joy
25,@ajaykapoor6404,2022-07-19 08:21:33,0.0,feel goosebump every time see great piece artbrsalutations writer singer,sadness
26,@sanjivghimire8322,2022-02-21 05:22:24,6.0,great leader prachanda,neutral
27,@prakashrasaili8175,2022-11-02 23:29:03,2.0,like u best sing congratulation,joy
28,@bandhanmondal4685,2022-10-04 04:03:34,6.0,kinda look like cross hybrid eurocopter tiger bell supercobra,neutral
29,@kabinthapa9870,2022-10-13 14:53:19,65.0,dont give making kind video full support need people like,sadness
30,@thapakamal5261,2022-11-09 05:05:27,1.0,intresting interview,neutral
31,@bishangc4353,2022-10-14 01:58:58,0.0,god,disgust
32,@binayadhakal9106,2022-11-11 16:14:44,0.0,stupid guy sanjay kasto nonsense harrrr,anger
33,@Knshukla234,2022-06-24 05:29:15,6.0,major anuj sood rambo inspiration every time feel low nda prepration think dont know get goosebump suddenly spirit go higher wishing martyrdom got hero anuj sir day special supreme sacrifice mother indian fighting terriosm valley missing major hrefhttpwwwyoutubecomresultssearchqueryshershera anuj sher rajwar handwara jungle,sadness
34,@sitanepal5901,2022-10-22 00:53:52,0.0,pracanda worst leader ever beautiful country give birth pity motherland nepal,surprise
35,@vijaythrai4093,2022-02-19 11:37:50,3.0,proud,disgust
36,@NPLONLINEVlogs,2022-10-13 23:09:23,0.0,pray loss,sadness
37,@venkateshwara5242,2022-06-05 15:07:53,1.0,cat listened songshe lion,anger
38,@bhimkumarrai7824,2022-04-13 14:27:56,1.0,nice song,neutral
39,@wazza9573,2022-10-20 11:39:23,0.0,man devil dont vote man cost,neutral
40,@Nabin812,2022-04-12 18:01:28,10.0,lovely chemistry legend daya dai laxmi amazing congratulation making awesome music video god bless,joy
41,@adamwills3070,2022-11-08 22:25:27,1.0,respect sanjay,anger
42,@isThe_G,2022-10-14 01:04:42,3.0,pls make video youtube social medium power hand need spread awareness thanks bro keep,joy
43,@Karan-qr9wd,2022-04-17 02:31:09,1.0,feeling proud father served indian army year,joy
44,@maxrovin1263,2022-11-10 17:29:05,0.0,didnt expect prachanda showmost hated person nepal,anger
45,@Venture_93,2022-11-11 05:53:03,2.0,great brotherbri respect manbrjust reflecting soo called leader mindset knowledge bri hope video would definitely help youth upcoming election bri alot respect brother,joy
46,@ajuhapa4190,2022-06-27 00:23:59,1.0,responsible kill son,anger
47,@sunillama2126,2022-11-09 07:31:09,0.0,good jyan mara prachande,joy
48,@bermondseysquare2894,2022-11-12 10:12:50,4.0,national dress nalagaune lai pls dont bring programme insult programme dignity,anger
49,@vivekgirdhar9455,2022-06-27 21:57:36,1.0,sankrization way,neutral
50,@vanrutgar6536,2022-10-03 20:12:47,1.0,look cross apache ussr era,surprise
51,@FACTSTIME124,2022-05-19 17:11:57,1.0,nice motivational song,fear
52,@basanta_____limboo5841,2022-02-18 15:55:27,1.0,dont like prachand,joy
53,@MASTER-un7ey,2022-08-01 15:48:22,1.0,nice song,anger
54,@sohonagegurukulaya,2022-06-22 13:56:37,2.0,great army recspect sri lanka,neutral
55,@rasnabyanj,2022-10-14 03:39:17,0.0,high time everyone vote wisely making general public aware matter also one important part bringing change access internet medium also village may access casting vote respective candidate aware reality history candidate,neutral
56,@loktiwari561,2022-11-09 03:46:42,0.0,brother love brbut call prachanda become nice indian agent ash wholebrhe claiming indian waged civil war nepal done brplease dont cal traitor brdont give space kind people brma yo sabai bad sabda ko lagi maf chahanchhu bud dont deserve much respect brother love podcast,anger
57,@jeevanbasnet1516,2022-11-04 12:52:59,0.0,love content love daiwe need type video,anger
58,@dharmalama3025,2022-11-03 00:08:05,0.0,jay prachanda,joy
59,@ajuhapa4190,2022-11-07 22:37:28,13.0,prachande tero chora moryoo tero paap le talai ajhai pugeko chaina,neutral
60,@samangsonggms4677,2022-10-25 03:13:39,0.0,making video opposite himbrbrnispakshya video banaunu praya garau,fear
61,@Anime-tw4nc,2022-11-08 07:08:32,5.0,nice see politians show,joy
62,@beingentrepreneur4735,2022-11-13 08:22:26,1.0,dont teach father bb,neutral
63,@rakhisrini,2022-04-27 07:56:47,1.0,grandiloquent style song,neutral
64,@deepgurung1806,2022-11-11 14:08:12,1.0,comred prachanda,neutral
65,@sandeeppudasaini9056,2022-11-13 22:11:12,1.0,totally earthbrwhat passion personalitybrsalute cm,neutral
66,@vinaysharma9080,2022-08-21 15:37:48,0.0,cracked upsc ac exam bad luck failed medical exam,sadness
67,@bhawanapyakurel9205,2022-04-13 10:28:59,2.0,wow nice song vinaju,sadness
68,@afreen1386,2022-07-04 18:13:09,0.0,proud indian soldier,surprise
69,@pramodpawar1560,2022-06-20 07:03:23,4.0,indian land inch like mother u wont allow anyone step distract mindset come friendship welcome time best usbut otherwiseonce comand senior ready die amp required ready eat inch breakfast lunchand snack blood plodded,joy
70,@mysterygaming2462,2022-04-12 16:04:43,10.0,song connects disconnected heartbrlove support prachanda rai whole team,neutral
71,@Nidaqueenwithenglish,2022-09-10 10:30:55,21117.0,muslim song nicemillion se jada sun chuki hoon isko orshiv tandav kodo song bhut hi energy dete muje,joy
72,@renukastha7354,2022-04-21 02:23:04,2.0,nice song prachanda brother nice voice,joy
73,@anilkirati568,2022-02-18 21:14:43,2.0,great,disgust
74,@mrhimal,2022-11-08 12:03:21,0.0,keep inviting corrupt politician,anger
